ETC_20150317_000001	Kepa
ETC_20150714_013113	N/A
ETC_20150714_013114	Cofre del Tesoro Nv5
ETC_20150714_013115	Cofre del Tesoro Nv4
ETC_20150714_013116	Wooden Box
ETC_20150714_013117	Strange Lump
ETC_20150714_013118	Searching Cazador
ETC_20150714_013119	Portal Power Generator
ETC_20150714_013120	Schilt Amplifier
ETC_20150714_013121	Petrification Detector Sample
ETC_20150714_013122	Isolated Laboratory
ETC_20150714_013123	Outside of Isolation Camp
ETC_20150714_013124	Petrifying Frost Effect
ETC_20150714_013125	Magical Steam
ETC_20150714_013126	Monster Genx
ETC_20150714_013127	Demons' Sealed Sphere
ETC_20150714_013128	Blue Magical Crystal
ETC_20150714_013129	Red Magical Crystal
ETC_20150714_013130	Yellow Magical Crystal
ETC_20150714_013131	Hidden North Area Manager
ETC_20150714_013132	Hidden South Area Manager
ETC_20150714_013133	Green Cristal Controller
ETC_20150714_013134	White Cristal Controller
ETC_20150714_013135	Baboon
ETC_20150714_013136	Guardian Bros
ETC_20150714_013137	Abandoned Beehives
ETC_20150714_013138	Poisoned Monje
ETC_20150714_013139	(Temporary) Amanda 1
ETC_20150714_013140	(Temporary) Amanda 2
ETC_20150714_013141	(Temporary) Amanda 3
ETC_20150714_013142	Demon Box
ETC_20150714_013143	[Royal Army]{nl}  Guard
ETC_20150714_013144	[Royal Army]{nl}   Retia
ETC_20150714_013145	[Amanda Tomb Robbers]{nl}  Hubertas
ETC_20150714_013146	[Royal Army]{nl}  Gofden
ETC_20150714_013147	[Knights of Kaliss]{nl}Criomante Kostas
ETC_20150714_013148	[Amanda Tomb Robbers]{nl}   Rudolfas
ETC_20150714_013149	Petrified Royal Army Advance Party
ETC_20150714_013150	Discarded Petrification Detector
ETC_20150714_013151	Velas Grass
ETC_20150714_013152	Amanda Tomb Robbers' Crate
ETC_20150714_013153	[Knights of Kaliss]{nl}Cronomante Sabina
ETC_20150714_013154	[Royal Army]{nl} Nomabis
ETC_20150714_013155	[Royal Army]{nl}  Lyle
ETC_20150714_013156	Petrified Soldado
ETC_20150714_013157	[Royal Army]{nl}  Rofdel
ETC_20150714_013158	[Knights of Kaliss]{nl}  Adjutant General Hans
ETC_20150714_013159	[Amanda Tomb Robbers]{nl}  Stephonas
ETC_20150714_013160	Royal Army Notice Board
ETC_20150714_013161	Royal Army Propoganda
ETC_20150714_013162	  [Knights of Kaliss]{nl}Wilhelmina Carriot
ETC_20150714_013163	[Knights of Kaliss]{nl}  Knight
ETC_20150714_013164	[Knights of Kaliss]{nl}  Bokor Edita
ETC_20150714_013165	      [Knights of Kaliss]{nl}Alquimista Saliamonas
ETC_20150714_013166	[Amanda Tomb Robbers]{nl}    Amanda
ETC_20150714_013167	Thorny Bushes
ETC_20150714_013168	Magic Condenser
ETC_20150714_013169	Field Gen
ETC_20150714_013170	Peregrino Mathas' Corpse
ETC_20150714_013171	First Tree
ETC_20150714_013172	Second Tree
ETC_20150714_013173	Third Tree
ETC_20150714_013174	REMAINS37_2_SQ_080_The trigger to create a session
ETC_20150714_013175	Zubeck's Box
ETC_20150714_013176	Sealed Archon
ETC_20150714_013177	Relics Archive
ETC_20150714_013178	Lamp of Proof
ETC_20150714_013179	Sealed Valius' Artifact
ETC_20150714_013180	Teleport Device
ETC_20150714_013181	Black Shadow
ETC_20150714_013182	Wandering Spirit
ETC_20150714_013183	Hardened Astral Body Crystal
ETC_20150714_013184	Storage Box
ETC_20150717_013185	Black Liverwort
ETC_20150717_013186	Burning Fire Lord
ETC_20150717_013187	Wrathful Harpeia
ETC_20150717_013188	Starving Ellaganos
ETC_20150717_013189	Hohen Mane
ETC_20150717_013190	Hohen Ritter
ETC_20150717_013191	Hohen Barkle
ETC_20150717_013192	Hohen Mage
ETC_20150717_013193	Hohen Orben
ETC_20150717_013194	Hohen Gulak
ETC_20150717_013195	Segador de Almas
ETC_20150717_013196	2do Prisión Demoníaca
ETC_20150717_013197	Where did that kind of monstruo appear from...
ETC_20150717_013198	Hold up little more!{nl}I will gather some people!
ETC_20150717_013199	The Petrifying Frost is coming!{nl}Destruye the obstacles or jump over them to move to a safe place!
ETC_20150717_013200	Trigger for the completion
ETC_20150717_013201	As you were trying to repair the detector, the monstruos rushed in!
ETC_20150717_013202	Fainted Petrifying Frost
ETC_20150717_013203	Intensive Spirits' Device has been destroyed and lots of monstruos are rushing in!
ETC_20150717_013204	Derrota Salamanders that are going after Protective Shell activating the device
ETC_20150717_013205	As the magic stabilizing device activated, the monstruos rushed in!
ETC_20150717_013206	Protege Grita while she is controlling the magic of the tower!
ETC_20150717_013207	Derrota Grinender that blocked the stairs to the 5to floor!
ETC_20150717_013208	Well done, Grita.
ETC_20150717_013209	Royal Army Guard Delus
ETC_20150717_013210	Weapon Box
ETC_20150717_013211	Let's retrieve the base!
ETC_20150717_013212	What?! It's the box.
ETC_20150717_013213	Do I have anything to sell.
ETC_20150717_013214	Only documents.
ETC_20150717_013215	The energy of the night has weakened
ETC_20150717_013216	The monstruos at the declined Legwyn Family's Mansion are becoming weak.
ETC_20150717_013217	Reflect the light
ETC_20150717_013218	As the lamp shined, you can see the monstruos that were hidden
ETC_20150717_013219	You lit up the bonfire for the spirits
ETC_20150717_013220	The buff that stops a person from talking for a while
ETC_20150717_013221	Spirit leaving out
ETC_20150717_013222	You are losing the spirit. So you feel exhausted.
ETC_20150717_013223	Bomb Effects
ETC_20150717_013224	Bomb Effects
ETC_20150717_013225	The curse of the suspicious sculpture
ETC_20150717_013226	The blessing of the suspicious Todem
ETC_20150717_013227	The curse of the suspicious crystal
ETC_20150717_013228	The blessing of the suspicious stone pole
ETC_20150717_013229	The blessing of the suspicious tombstone
ETC_20150717_013230	The blessing of the unknown crystal pole
ETC_20150717_013231	You can move freely using
ETC_20150717_013232	Choose the control mode from Game Settings.
ETC_20150717_013233	For the controller, use the Control Pad to move.
ETC_20150717_013234	For the mouse, click on an area to move your character.
ETC_20150717_013235	When using the mouse, you can also move using the {img W 40 40}, {img A 40 40}, {img S 40 40} and {img D 40 40} keys
ETC_20150717_013236	Press the same arrow key twice to dash when using Espadachín types.
ETC_20150717_013237	Sprint increases your movement speed but also consumes Resistencia faster.
ETC_20150717_013238	Use jump to cross over obstacles or up higher places.
ETC_20150717_013239	Press {img X 40 40} to jump.
ETC_20150717_013240	When using a mouse, you can jump by using {img space 40 40}.
ETC_20150717_013241	When using a controller, you can jump by using preset keys.
ETC_20150717_013242	Press {img Z 40 40} to use a basic attack.
ETC_20150717_013243	When using a mouse, you can attack by using {img Z 40 40} or by clicking on the enemy.
ETC_20150717_013244	Press {img ctrl 40 40} to lock a target.
ETC_20150717_013245	Press {img Alt 40 40} to immediately stop your character's movement.
ETC_20150717_013246	Press {img space 40 40} to face your target.
ETC_20150717_013247	When using a controller, you can attack by using the preset key.
ETC_20150717_013248	Use the Map to check your current location and other current areas.
ETC_20150717_013249	Press the {img M 40 40} to check the map of your current area.
ETC_20150717_013250	Press the {img N 40 40} to open the World Map.
ETC_20150717_013251	Areas you haven't been to will not be shown on the World Map,{nl}while areas you have already been to will be activated.
ETC_20150717_013252	Moving your mouse over the activated area will show the map that the character has completed.
ETC_20150717_013253	You can check your items, equipments, money, and weight through the Inventory.
ETC_20150717_013254	Press {img F2 40 40} to open the Inventory window.
ETC_20150717_013255	Upper area of the Inventory window shows items that the character equipped.
ETC_20150717_013256	Below are the item that the character holds.
ETC_20150717_013257	Items in the inventory are sorted by item types.
ETC_20150717_013258	Click on Sort to sort the inventory by name.
ETC_20150717_013259	Use the search function to quickly find items.
ETC_20150717_013260	The lower area shows total carry weight of your items, funds, and TP.
ETC_20150717_013261	Available quests are found in the Quest window.
ETC_20150717_013262	Press {img F5 40 40} to view the quests in progress.
ETC_20150717_013263	Select an entry from the Quests in Progress list for detailed information.
ETC_20150717_013264	You can drop certain quests with the
ETC_20150717_013265	 button.
ETC_20150717_013266	You can check abandoned quests through
ETC_20150717_013267	 tab.
ETC_20150717_013268	button allows you to restart the quest immediately. Some quests cannot be abandoned.
ETC_20150717_013269	Track a quest by marking the checkbox.
ETC_20150717_013270	Manage skills with skill points gained on level up.
ETC_20150717_013271	Press {img F3 40 40} to open your Skill window.
ETC_20150717_013272	Learned skills will appear in your Quick Slots where you can change the keys to your own choice.
ETC_20150717_013273	Learn attributes by visiting the Class Master PNJ of a specific Class.
ETC_20150717_013274	Learning attributes will cost Plata and time. {nl} {nl}
ETC_20150717_013275	You can use the attribute after you've learned it, {nl}but other attributes cannot be learned while you are learning.
ETC_20150717_013276	Attributes that you have already mastered can be found in the Attribute List in the Skill window.
ETC_20150717_013277	Attributes you have already mastered can be found at the bottom of the Skill window.
ETC_20150717_013278	Your character's game progress is recorded in the Diario de Aventuras. Press F4 to view it.
ETC_20150717_013279	You can complete the Adventure Index through Items, Monsters, Crafting, Map, and Game Progression.
ETC_20150717_013280	You can receive rewards from
ETC_20150717_013281	Wings of Vibora, Lena
ETC_20150717_013282	 in Klaipeda based on the character's Adventure Index.
ETC_20150717_013283	You can upgrade each ability by using Status Points.
ETC_20150717_013284	You can preview the effects from the screen below.
ETC_20150717_013285	Ascenso
ETC_20150717_013286	You can advance to another class when your Class Level has reached 15.
ETC_20150717_013287	After selecting another class to advance to, you will receive an Ascenso quest from the Class Master. Complete the quest to advance further.
ETC_20150717_013288	Once you begin the Ascenso quest, you cannot change your class until the next Ascenso.
ETC_20150717_013289	When you reach Rank 2, you can learn the attribute
ETC_20150717_013290	 from the Class Master.
ETC_20150717_013291	You can quickly swap weapons by pressing {img Alt 40 40}+ {img Z 40 40} if you've learned the Weapon Swap attribute
ETC_20150717_013292	Some classes may require you to learn Weapon Mastery before using special weapons.
ETC_20150717_013293	Revive dead characters by using Resurrection.
ETC_20150717_013294	A character will die when its PS reaches 0 and become
ETC_20150717_013295	. {nl}{nl}
ETC_20150717_013296	- you can select from different options to revive. {nl}{nl} - Respawn from nearest Revival Point : Revive in the starting location of the map. For dungeons, you will revive outside its entrance. {nl}{nl} Respawn here : Revive where the character died. Req
ETC_20150717_013297	The gems in your inventory will be dropped when you die inside a dungeon.
ETC_20150717_013298	You can earn achievements through character's activities and receive rewards.
ETC_20150717_013299	You can see your characer's achievements by pressing {img F1 40 40} to open the Character window, and going to the Achievements tab.
ETC_20150717_013300	You can receive rewards for each achievement you earn.
ETC_20150717_013301	Party Settings
ETC_20150717_013302	Press {img F6 40 40} to open the Party window.
ETC_20150717_013303	You can form a party by pressing the Create Party button. You must not currently be in a party to form a new one.
ETC_20150717_013304	You can set your play style and party members in Members tab.
ETC_20150717_013305	This information will be used when you use Search Party function.
ETC_20150717_013306	You can enjoy Party Events with other party members.
ETC_20150717_013307	In Settings, you can set the Party Name, Party Description, Item and EXP distribution rules, etc.
ETC_20150717_013308	You can check the list of public parties on the right.
ETC_20150717_013309	You can select the party you like to join from the list of Public Parties.
ETC_20150717_013310	You can check the monstruo's level, name, PS, etc in the Monster window.
ETC_20150717_013311	attacks are effective against
ETC_20150717_013312	type monstruos.
ETC_20150717_013313	attacks are effective against
ETC_20150717_013314	type monstruos.
ETC_20150717_013315	You can restore your PS/PM/Resistencia.
ETC_20150717_013316	[Modo Descanso] Press {img Insert 40 40} to rest.
ETC_20150717_013317	While in Modo Descanso, movement is limited but restoration speed increases. You can still do other activities.
ETC_20150717_013318	[Bonfire] Light a Bonfire during Modo Descanso to increase your restoration speed further.
ETC_20150717_013319	Use {img key1 40 40}~{img key9 40 40} to pick the location of the Bonfire. You need Firewood to light a Bonfire, which can be bought from a merchant PNJ.
ETC_20150717_013320	[Natural Recovery] :
ETC_20150717_013321	 status influences
ETC_20150717_013322	Recuperación de PS Speed
ETC_20150717_013323	, recovering PS in intervals.
ETC_20150717_013324	Restoring Naturally is very slow compared to other methods, but does not require any control or conditions.
ETC_20150717_013325	[Restore by Potion] Restore PS/PM/RES immediately using various potions.
ETC_20150717_013326	[Destruye Raíz Cristal del Árbol] Destruye the Raíz Cristal del Árbol to restore the Resistencia of all nearby characters.
ETC_20150717_013327	PvP is a team match under the name of Liga de Batalla en Equipo.
ETC_20150717_013328	You can join at certain times when you have a party of five members.
ETC_20150717_013329	You will transfer to the battle area when an opponent party is found.
ETC_20150717_013330	First to win 3 rounds win the Liga de Batalla en Equipo.
ETC_20150717_013331	You can check the recipe and the materials it requires in your inventory.
ETC_20150717_013332	Obtain recipes from monstruos, shops or from quests.
ETC_20150717_013333	While crafting, press {img Insert 40 40} to change to Modo Descanso.
ETC_20150717_013334	You need to have all the materials before crafting an item.
ETC_20150717_013335	If you have all the materials required, press
ETC_20150717_013336	button to begin crafting.
ETC_20150717_013337	You can add names or memos on crafted items.
ETC_20150717_013338	Shop System
ETC_20150717_013339	You can find Mercader PNJs in your travels.
ETC_20150717_013340	Use the trade window to trade items with PNJs.{nl}{nl}[Buy] : Select the items you want to buy with {img mouseclick_right 40 40}, then press
ETC_20150717_013341	Confirm
ETC_20150717_013342	 button to trade. {nl}To trade multiple items, use {img mouseclick_right 40 40} to set quantity. {nl}{nl}[Sell]: {img mouseclick_right 40 40} on the items you want to sell from your inventory, and set quantity, then press
ETC_20150717_013343	button to trade. {nl}Double {img mouseclick_right 40 40} to sell all of that item.
ETC_20150717_013344	Reset
ETC_20150717_013345	 button enables you to reset all items added for Buy and Sell.
ETC_20150717_013346	{img mouseclick_right 40 40} on the item from 'My Sold Items' below to buy back item delete it from the list.
ETC_20150717_013347	You require money and an anvil to enhance equipment.
ETC_20150717_013348	 can be purchased from the Mercader de Objetos or obtained from monstruos.
ETC_20150717_013349	Press {img mouseclick_right 40 40} on the anvil, then select an equipment item to open the Enhancement window. Select
ETC_20150717_013350	 and
ETC_20150717_013351	 will appear. Hit the
ETC_20150717_013352	 three times to enhance the item.
ETC_20150717_013353	When enhancing a weapon beyond +5, Potential will be consumed on failure and its effects will be reset. The item will be destroyed when Potential drops to zero.
ETC_20150717_013354	Enhancement penalties occur beyond +2 for armors, bracelets, and necklaces.
ETC_20150717_013355	You can't use an item with 0 durability.
ETC_20150717_013356	Repair items in the Repair window.{nl}Select an item, then click Repair to restore durability to 100%.
ETC_20150717_013357	A repair fee will be charged. Higher ranked items are usually more expensive to repair.
ETC_20150717_013358	Use Gems on your items for additional effects.
ETC_20150717_013359	Gems can be used for extra item effects and are obtained from dungeons.
ETC_20150717_013360	Gems can be upgraded through Gem Enhancement. Gem Abrasives or other gems are required.
ETC_20150717_013361	Insert gems into the item sockets to add additional effects.
ETC_20150717_013362	Some items may not have sockets.
ETC_20150717_013363	You can add Gem sockets at the Blacksmith PNJ.
ETC_20150717_013364	Adding sockets will require a fee and reduce the item's Potential by 1.
ETC_20150717_013365	Press {img mouseclick_right 40 40} on the Gem to see which items are compatible.
ETC_20150717_013366	Click on the item to insert the gem.
ETC_20150717_013367	Hover the cursor over an item to view its current Gems.
ETC_20150717_013368	You can remove inserted Gems by
ETC_20150717_013369	 through the Blacksmith PNJ.
ETC_20150717_013370	The Gem's level will be lowered by 1 when removed.
ETC_20150717_013371	Sub-weapons are equipped in the character's right hand.
ETC_20150717_013372	Press {img C 40 40} to use an equipped Sub-weapon.
ETC_20150717_013373	Your character will attack with the Sub-weapon.
ETC_20150717_013374	If the Sub-weapon has special properties, weapon effects will apply.
ETC_20150717_013375	Trading between Players
ETC_20150717_013376	You can trade your items with other players.
ETC_20150717_013377	[Trade] Press {img mouseclick_right 40 40} on the player you want to trade with and select Trade.
ETC_20150717_013378	Select an item to trade by pressing {img mouseclick_right 40 40} on the item in your inventory.
ETC_20150717_013379	Double-check the items on offer and press Accept and Confirm to complete the trade.
ETC_20150717_013380	[Market] The Market allows you to trade items with many other players.
ETC_20150717_013381	You can use the Market through the Market Manager.
ETC_20150717_013382	You can look at items offered by other players, and purchase items from the list.
ETC_20150717_013383	Items purchased are sent to the Item Cabinet.
ETC_20150717_013384	To sell items, you must register and list the items for sale.
ETC_20150717_013385	Press {img mouseclick_right 40 40} on the item you want to sell from your inventory, then set the selling price.
ETC_20150717_013386	is used to warp between Estatua de Diosas when activated.
ETC_20150717_013387	You must approach a Estatua de Diosa to activate it.
ETC_20150717_013388	You can use the active Estatua de Diosa to teleport to other areas with an active Estatua de Diosa.
ETC_20150717_013389	You can also use the Pergamino de Teletranporte to warp immediately.
ETC_20150717_013390	Pergaminos de Teletranporte can be bought from shops or obtained from quests.
ETC_20150717_013391	{img backspace 40 40}(Backspace) will also work as a{nl}
ETC_20150717_013392	can be obtained through various ways and
ETC_20150717_013393	[Klaipeda's Asociación Mágica] Henrika
ETC_20150717_013394	 PNJ activates the Colección.
ETC_20150717_013395	You can check the registered decks through
ETC_20150717_013396	 PNJ.
ETC_20150717_013397	Select the Colección to see the items needed to complete the colección.
ETC_20150717_013398	 will be enabled when you add the required items on the item slot.
ETC_20150717_013399	You can add the item to the colección by dragging the item from inventory to the item slot.
ETC_20150717_013400	Items added can be moved back to your inventory with {img mouseclick_right 40 40}.
ETC_20150717_013401	Removing items from a completed Colección will mark it as incomplete and remove its effect.
ETC_20150717_013402	Colección effects are enabled only when the Colección is completed.
ETC_20150717_013403	How to retrieve supply box
ETC_20150717_013404	Aside from adoption, you can also buy food for your companion or train them at the Companion Trader.
ETC_20150717_013405	You can adopt a companion if you have enough money.
ETC_20150717_013406	You can only bring one companion at a time.
ETC_20150717_013407	Companions receive EXP by helping the character in battle. {nl}{nl}Companions consume stamina when you bring them along. A companion's movement speed will decrease when there is no stamina.{nl}{nl}Click the switch button to change the companion's status to Modo Descanso.{nl}Click the switch again to activate your companion.
ETC_20150717_013408	You can train your companion to become stronger.
ETC_20150717_013409	Train your companion through the Companion Trader to increase its abilities. A training fee is required.
ETC_20150717_013410	You can recover a companion's stamina by feeding it food. Its PS will be recovered fully and stamina will be recovered partially.
ETC_20150717_013411	You can buy Companion Food from the Companion Trader.
ETC_20150717_013412	Monsters found in dungeons will attack characters on sight.
ETC_20150717_013413	Gather more players to form a party and face the challenge!
ETC_20150717_013414	will revive you in the dungeon entrance outside.
ETC_20150717_013415	Be careful when you delve into a dungeon!
ETC_20150717_013416	You can obtain gems by hunting in dungeons.
ETC_20150717_013417	Watch out! You can lose your gems upon death!
ETC_20150717_013418	Pray in front of a Estatua de Diosa to receive beneficial effects.
ETC_20150717_013419	is used to warp to other areas.
ETC_20150717_013420	gives Status Points.
ETC_20150717_013421	Community
ETC_20150717_013422	Socialization
ETC_20150717_013423	Use the Social Function to interact with other players.
ETC_20150717_013424	[Helper] You can leave your character to be used as a Helper when you log out. You need to be at least Rank 3 and iCoin is consumed.
ETC_20150717_013425	Other players may hire you as Helpers by paying TP.
ETC_20150717_013426	A Helper will follow the host character and assist in combat.
ETC_20150717_013427	[Friend] Press F7 to open the Friends window. Players can add each other to Friends List.
ETC_20150717_013428	Friends can see each other's online status and location.
ETC_20150717_013429	[Like] Press {img mouseclick_right 40 40} on another character and press
ETC_20150717_013430	to use the Like function.
ETC_20150717_013431	 between characters will increase their closeness level causing you to meet each other more often when matching parties.
ETC_20150717_013432	Add Magic Amulets on weapons and shields for additional effects.
ETC_20150717_013433	You can receive additional EXP when Exterminio is triggered.
ETC_20150717_013434	Magic Control Room
ETC_20150717_013435	Mercader de Objetos Emilia
ETC_20150717_013436	City Mercader de Objetos
ETC_20150717_013437	Item Merchant1
ETC_20150717_013438	Silhouette Crystal
ETC_20150717_013439	Fedimian Mercader de Objetos
ETC_20150717_013440	Grita Phoenix
ETC_20150717_013441	NPC_Fire Lord
ETC_20150717_013442	Empty NPC for Ciudad Petrificada
ETC_20150717_013443	NPC_Kepa_Temporal Use
ETC_20150717_013444	Hidden Trigger for Petrifying Frost
ETC_20150717_013445	Boss Hunting Mission
ETC_20150717_013446	Request Office Mission
ETC_20150717_013447	Talk to Fedimian Mercenary Post Receptionist Ramda at the Mercenary Post to request a mission.
ETC_20150717_013448	DoTimeAction:Buscando the parts:3:SITGROPE:None
ETC_20150717_013449	Property:1/PropertyAdd:1/EffectNPC:Local:F_pc_making_finish_white:1:TOP/Notice:NOTICE_Dm_GetItem:You've found the parts!:5/NPCDead
ETC_20150717_013450	Notice:NOTICE_Dm_!:You didn't find anything!:5/NPCDead
ETC_20150717_013451	DoTimeAction:Recolectando:3:SITGROPE:None
ETC_20150717_013452	Property:1/PropertyAdd:1/GiveItem:FLASH_58_SQ_020_ITEM_1:1/EffectNPC:Local:F_pc_making_finish_white:1:TOP/Notice:NOTICE_Dm_Clear:You've obtained Poisonous plants!:5
ETC_20150717_013453	NPCDead/Notice:NOTICE_Dm_!:You couldn't obtain anything!:5
ETC_20150717_013454	DoTimeAction:Colleting the petrification liquid  powders:5:GROPE:None
ETC_20150717_013455	Property:1/PropertyAdd:1/GiveItem:FLASH_58_SQ_050_ITEM_2:1/EffectNPC:Local:F_pc_making_finish_white:1:TOP/NPCDead/Notice:NOTICE_Dm_Clear:You've obtained the petrification liquid powders!:5
ETC_20150717_013456	NPCDead/Notice:NOTICE_Dm_!:You've failed to obtain the petrification liquid powders!:5
ETC_20150717_013457	Func:SCR_FLASH_58_PETRIFICATION_MON_PRECHCEK/DoTimeAction:Pulling out the monstruo's core:3:SITGROPE:None
ETC_20150717_013458	Property:1/PropertyAdd:1/GiveItem:FLASH_58_SQ_060_ITEM_1:1/EffectNPC:Local:FLASH_58_SQ_060_ITEM_1:1:TOP/NPCDead/Notice:NOTICE_Dm_Clear:Obtained the core!:5
ETC_20150717_013459	Notice:NOTICE_Dm_!:You haven't obtained anything:5
ETC_20150717_013460	Release the petrified victims at Vienti Fortress
ETC_20150717_013461	The Past of the Mina de Cristal [Alquimista - Ascenso]
ETC_20150717_013462	Pass the corridor by dispersing the monstruos
ETC_20150717_013463	Search through the corpses of the Royal Army guards and collect usable equipment
ETC_20150717_013464	Obtain diluting solution from the Mercader de Objetos in Fedimian
ETC_20150717_013465	Lure InfroGalas Mages using the food boxes to collect sticky resin
ETC_20150717_013466	Move to a safe place
ETC_20150717_013467	Check the first petrification device
ETC_20150717_013468	Check the second petrification device
ETC_20150717_013469	Check the third petrification device
ETC_20150717_013470	Check the fourth petrification device
ETC_20150717_013471	Obtain the parts de los monstruos or the soldiers
ETC_20150717_013472	Obtain poisonous plants
ETC_20150717_013473	Obtain petrification liquid powders
ETC_20150717_013474	Obtain the core from the petrified monstruos
ETC_20150717_013475	Throw the core to the terminal (1)
ETC_20150717_013476	Throw the core to the terminal (2)
ETC_20150717_013477	Throw the core to the terminal (3)
ETC_20150717_013478	Obtain the detonator de los monstruos
ETC_20150717_013479	Saknis Plains Hidden Event Requirements Session
ETC_20150717_013480	Gytis Settlement Area Hidden Event Requirements Session
ETC_20150717_013481	Sunset Flag Forest Hidden Event Session
ETC_20150717_013482	Zachariel Crossroads Hidden Event Requirements Session
ETC_20150717_013483	Vieta Valley Hidden Event Requirements Session
ETC_20150717_013484	Receta - Svitrigaila's Orb
ETC_20150717_013485	Receta - Austas
ETC_20150717_013486	Receta - Kindzal
ETC_20150717_013487	Receta - Naktis
ETC_20150717_013488	Receta - Grynas Rod
ETC_20150717_013489	Receta - Temere
ETC_20150717_013490	Receta - Black Staff
ETC_20150717_013491	Receta - Accuracy Crossbow
ETC_20150717_013492	Receta - Veteran Crossbow
ETC_20150717_013493	Receta - Handgun
ETC_20150717_013494	Veteran
ETC_20150717_013495	Expert
ETC_20150717_013496	Challenger
ETC_20150717_013497	Champion
ETC_20150717_013498	FAQ : Enhancement{nl}1) Weapons and armors can be enhanced using the anvil item. {nl}2) You can buy anvils from the Mercader de Objetos in any town. {nl}3) Plata is required for enhancing items.{nl}4) The enhancement of weapons and armor have a 100% success rate till +5 and +3 respectively. The chance of failure after the next enhancement will increase.{nl} If an enhancement fails, your enhancement level will reset and the Potential of your item decreases.
ETC_20150717_013499	Card Battle Tip
ETC_20150717_013500	in the chat menu
ETC_20150717_013501	You can start a Card Battle with another player.
ETC_20150717_013502	/Party Invite
ETC_20150717_013503	/Add Friend
ETC_20150717_013504	/Block
ETC_20150717_013505	Your name cannot exceed 16 characters {nl}including blank spaces.
ETC_20150717_013506	Disconnected from the server.{nl}
ETC_20150717_013507	Moving to login mode after 3 segundos.
ETC_20150717_013508	Cannot connect to the server.
ETC_20150717_013509	Your ID exceeds the maximum length allowed.
ETC_20150717_013510	Your username or password is incorrect. {nl}Please note that passwords are case sensitive.
ETC_20150717_013511	Server shutdown is incomplete, or you are already logged in.{nl}Server shutdown may take up to 3 minutos.
ETC_20150717_013512	Wrong verification code.
ETC_20150717_013513	This name already exists. {nl}Please enter a different name.
ETC_20150717_013514	You cannot create this character.
ETC_20150717_013515	You cannot delete this character.
ETC_20150717_013516	This character does not exist.
ETC_20150717_013517	You disconnected from the server{nl}due to a verification failure.
ETC_20150717_013518	Your password is incorrect.
ETC_20150717_013519	You have reached the maximum amount of characters.{nl}To create a new character, you must first delete an existing character.
ETC_20150717_013520	Please enter your account password.
ETC_20150717_013521	Entering the world...
ETC_20150717_013522	Do you want to learn this attribute?
ETC_20150717_013523	Conectando al Servidor...
ETC_20150717_013524	{gr gradation2}{s19}{ol}{b}{#ffcc00}Right-click: Sell / Buy Button{/}{/}{nl}Press and hold the Shift button + right-click{nl}to sell multiple quantities of an item.{nl}Double-click to sell all.
ETC_20150717_013525	You will be moved to another channel{nl}due to this one being too full.
ETC_20150717_013526	When enhancing armor, bracelets or necklaces past +{Auto_1}, if it fails, the Potential of that item will decrease by 1.{nl} {nl}When the Potential falls below 0, the item will be destroyed. Do you want to continue?
ETC_20150717_013527	When enhancing weapons past +{Auto_1}, if it fails, the Potential of that item will decrease by 1.{nl} {nl}When the Potential falls below 0, the item will be destroyed. Do you want to continue?
ETC_20150717_013528	Will be entered automatically after 5 secs
ETC_20150717_013529	Saliendo the dungeon will fail in awakening.{nl}Do you want to proceed?
ETC_20150717_013530	You've obtained silver
ETC_20150717_013531	You do not have the required class to use this companion.
ETC_20150717_013532	You do not have the required attribute to mount this companion.
ETC_20150717_013533	{ThemeName} ({Count} characters)
ETC_20150717_013534	Like +1
ETC_20150717_013535	{Name} likes {Who}!
ETC_20150717_013536	{@st41b}Retrieved Item
ETC_20150717_013537	Use
ETC_20150717_013538	After smelling the food, an Infrogalas Mage rushed in
ETC_20150717_013539	Lured Infrogalas Mage
ETC_20150717_013540	You've obtained the sticky resin!
ETC_20150717_013541	Looking at the detector
ETC_20150717_013542	Detector is not working!
ETC_20150717_013543	Detector is working well
ETC_20150717_013544	You've been afflicted by the faint Petrifying Frost!{nl}Try again!
ETC_20150717_013545	You are moving as if you are being pulled!
ETC_20150717_013546	You can't get near due to the malfunctioning of the terminal!
ETC_20150717_013547	It is not the monstruo with the detonator!
ETC_20150717_013548	The Petrifying Frost is coming! Quick, avoid it!
ETC_20150717_013549	The lamp is shining bright{nl}
ETC_20150717_013550	min remaining
ETC_20150717_013551	You don't have enough old oil pockets
ETC_20150717_013552	This Evil Energy Purifier is already activated
ETC_20150717_013553	Released the Seal of Guidance and summoned Guardian!
ETC_20150717_013554	Released the Seal of Protection and Terra Imps are charging in!
ETC_20150717_013555	Released the Seal of Blessing and the monstruos in residence are weakening.
ETC_20150717_013556	You've found the documents about magic generating stones
ETC_20150717_013557	Resetting with Valius' magic
ETC_20150717_013558	You don't have enough crystal pieces
ETC_20150717_013559	The poison in this spring is not enough
ETC_20150717_013560	Let's take a rest for a while
ETC_20150717_013561	An old book is there
ETC_20150717_013562	Explosive
ETC_20150717_013563	Removing the explosive
ETC_20150717_013564	You've found a Dud Bomb!{nl}Talk with the Zapador Master to know more about this explosive
ETC_20150717_013565	You've found a Dud Bomb!{nl}Use the Tool Box to remove the Dud Bomb
ETC_20150717_013566	You've removed the Dud Bomb!
ETC_20150717_013567	Using the tool box
ETC_20150717_013568	You've set the explosive
